scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_LocationALower-36_263_T-1,15,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",3,2,7.987022399902344e-05,0.11226296424865723,0.13904023170471191,0.25138306617736816,11
DEU_LocationALower-36_269_T-1,18,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,2.5272369384765625e-05,0.027306318283081055,0.07362079620361328,0.13428592681884766,17
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,2.574920654296875e-05,0.03529810905456543,0.03311729431152344,0.08732104301452637,9
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,2.574920654296875e-05,0.04309344291687012,0.0270540714263916,0.08238363265991211,7
DEU_LocationALower-37_1_T-1,11,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",1,0,2.5272369384765625e-05,0.015009641647338867,0.09151816368103027,0.14952850341796875,9
DEU_LocationALower-37_121_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",5,4,7.700920104980469e-05,0.10820531845092773,0.11841344833374023,0.22669577598571777,10
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,2.5987625122070312e-05,0.04302501678466797,0.02822136878967285,0.08344411849975586,10
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",5,4,2.4557113647460938e-05,0.02644801139831543,0.05318570137023926,0.1312570571899414,15
DEU_LocationALower-37_235_T-1,8,R_G1,bingo,"{'g', '~b', 'f', 'h', 'e'}",4,3,1.8596649169921875e-05,0.021870136260986328,0.03181266784667969,0.09617996215820312,4
DEU_LocationALower-37_240_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,1.9550323486328125e-05,0.02689194679260254,0.04425215721130371,0.12448668479919434,4
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.5987625122070312e-05,0.019939899444580078,0.06701159477233887,0.13857460021972656,14
Nr of scenarios,96,Nr of infeasible trajectories,0,0.0,Nr of repairable trajectories,72,0.75
