Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~f', 'n', '~e', '~j', '~o', '~d'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.07831573486328E-05,0.211634635925293,0.0597014427185059,0.293669462203979,10,2,0.0852398592279552,
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~n', '~j'}",9,2,[<Maneuver.BRAKE: 'brake'>],2.47955322265625E-05,0.0723526477813721,0.065770149230957,0.161607027053833,9,1,4.31405982798542,
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~n', '~j'}",9,2,[<Maneuver.BRAKE: 'brake'>],2.47955322265625E-05,0.0912094116210938,0.0542254447937012,0.166519165039063,6,1,8.44299381112355,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~j', '~n', '~i', '~k'}",4,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.76565551757812E-05,0.116711139678955,0.0552942752838135,0.195536613464355,10,1,8.95756024740362,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~n', '~j'}",6,3,[<Maneuver.BRAKE: 'brake'>],2.45571136474609E-05,0.0810818672180176,0.0674026012420654,0.170208930969238,10,1,9.04383959420285,
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~n', '~j'}",12,3,[<Maneuver.BRAKE: 'brake'>],2.50339508056641E-05,0.108403921127319,0.0496189594268799,0.177813291549683,10,1,10.8780744991078,
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~o', '~j', '~d'}",11,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.6702880859375E-05,0.152620315551758,0.0677647590637207,0.242894649505615,21,1,21.2839186861355,
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~n', '~j'}",10,5,[<Maneuver.BRAKE: 'brake'>],2.55107879638672E-05,0.104618072509766,0.0501890182495117,0.173027038574219,9,1,0.308881975490185,
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~n', '~j'}",12,5,[<Maneuver.BRAKE: 'brake'>],2.59876251220703E-05,0.104154825210571,0.0505156517028809,0.173503160476685,8,1,21.6982105403028,
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,bingo,"{'~n', '~j'}",11,5,[<Maneuver.BRAKE: 'brake'>],2.62260437011719E-05,0.11178183555603,0.0722012519836426,0.203745365142822,13,1,0.266870096363671,
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~n', '~j'}",11,6,[<Maneuver.BRAKE: 'brake'>],3.07559967041016E-05,0.112673282623291,0.0450124740600586,0.174965620040894,7,1,4.44018699627324,
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~a', '~e', '~i', '~c', '~f', '~g', '~b', '~j', '~h', '~d'}",9,8,[<Maneuver.BRAKE: 'brake'>],3.67164611816406E-05,0.0840187072753906,0.0400228500366211,0.141597986221313,27,1,66.9570468923003,
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,bingo,"{'~n', '~j'}",5,1,[<Maneuver.BRAKE: 'brake'>],2.33650207519531E-05,0.0400679111480713,0.0665194988250732,0.140968561172485,19,1,65.1010042095434,
DEU_AachenBendplatz-1_13720_T-739,10057,R_IN4,bingo,"{'~n', '~j'}",3,2,[<Maneuver.BRAKE: 'brake'>],3.31401824951172E-05,0.0652344226837158,0.0698583126068115,0.163280487060547,9,1,9.14000728910444,
